id,latitude,longitude,place
ak020921jc6m,59.9826,-153.5016,"40 km ENE of Pedro Bay, Alaska"
ak020921k4pk,60.0728,-152.309,"35 km WNW of Happy Valley, Alaska"
ak020922lnon,61.2244,-146.2648,"11 km NNE of Valdez, Alaska"
ak020922mc74,59.8993,-152.5335,"41 km WNW of Anchor Point, Alaska"
ak020922zt4q,65.8476,-150.8326,"48 km NW of Rampart, Alaska"
ak0209238dbt,69.4053,-143.7765,"81 km S of Kaktovik, Alaska"
ak020923brgb,58.3635,-133.6553,"45 km E of Juneau, Alaska"
ak020923lo19,58.3036,-133.6098,"47 km E of Juneau, Alaska"
ak020923mgzj,64.7787,-149.4072,"23 km NW of Four Mile Road, Alaska"
ak020923schk,60.672,-151.928,"33 km W of Salamatof, Alaska"
ak020923wlz5,62.3878,-149.163,"43 km NE of Y, Alaska"
ak020923xvb7,61.2241,-149.1679,"24 km ESE of Eagle River, Alaska"
ak02092473iq,61.9855,-150.8096,"30 km E of Skwentna, Alaska"
ak020924a425,61.4699,-149.8885,"6 km SSE of Big Lake, Alaska"
ak020924bnks,62.6623,-149.0934,"57 km ENE of Chase, Alaska"
ak020924coek,61.0378,-148.484,"31 km NNE of Whittier, Alaska"
ak020924d1fc,64.8099,-152.4282,"43 km SSW of Tanana, Alaska"
ak020924ficm,64.7697,-152.4537,"48 km SSW of Tanana, Alaska"
ak020924u1jk,63.0902,-151.497,"51 km SSE of Denali National Park, Alaska"
ak020924uy84,69.6194,-143.2042,"59 km SSE of Kaktovik, Alaska"
ak020924yrcz,64.8206,-149.0291,"24 km N of Four Mile Road, Alaska"
ak0209250qio,60.1365,-153.4088,"50 km E of Port Alsworth, Alaska"
ak0209251wn4,59.673,-153.0829,"58 km ESE of Pedro Bay, Alaska"
ak02092530k8,60.4564,-147.4943,"52 km NNE of Chenega, Alaska"
ak020925g570,64.7496,-147.5918,"6 km SSW of Badger, Alaska"
ak020925gbiu,61.6478,-150.3875,"13 km NNE of Susitna, Alaska"
ak0209266qap,62.5173,-149.8067,"17 km ENE of Chase, Alaska"
ak0209267sar,60.8619,-147.4972,"44 km W of Tatitlek, Alaska"
ak020926kexy,64.0914,-136.2293,"156 km E of Dawson City, Canada"
ak020926mczw,64.9901,-147.4042,"10 km ENE of Fox, Alaska"
ak020926nssz,60.3894,-138.9859,"90 km WSW of Haines Junction, Canada"
ak02093geqf2,65.6055,-147.9556,"28 km ENE of Livengood, Alaska"
ak02093gfuvm,66.337,-157.3009,"61 km S of Shungnak, Alaska"
ak02093ggbbv,63.5045,-151.0217,"35 km E of Denali National Park, Alaska"
ak02093ghalc,64.4842,-146.9717,"5 km SW of Salcha, Alaska"
ak02093ghjrb,59.5196,-153.024,"65 km WNW of Nanwalek, Alaska"
ak02093giow7,59.7631,-153.4692,"35 km E of Pedro Bay, Alaska"
ak02093gkrrj,59.2283,-152.4513,"33 km WSW of Nanwalek, Alaska"
ak02093glm20,58.1926,-155.28,"84 km NW of Karluk, Alaska"
ak02093gn6ts,62.8648,-150.5,"43 km NNE of Petersville, Alaska"
ak02093go8k5,64.8641,-148.9602,"30 km NNE of Four Mile Road, Alaska"
ak02093grh9e,51.4359,-176.1174,"60 km SE of Adak, Alaska"
ak02093h1ced,63.0492,-151.5346,"55 km S of Denali National Park, Alaska"
ak02093h7cfb,66.3077,-157.286,"65 km S of Shungnak, Alaska"
ak02093h7p2l,58.1857,-155.2804,"84 km NW of Karluk, Alaska"
ak02093h915w,58.1807,-155.2899,"84 km NW of Karluk, Alaska"
ak02093hm4ze,58.5635,-143.5778,"246 km WSW of Yakutat, Alaska"
ak02093hot9a,59.8329,-152.1878,"20 km WNW of Anchor Point, Alaska"
ak02093hql32,57.1269,-155.5466,"82 km SW of Karluk, Alaska"
ak02093hs17c,60.399,-139.0037,"90 km WSW of Haines Junction, Canada"
ak02093hs27k,64.7552,-152.4193,"49 km SSW of Tanana, Alaska"
ak02093hts38,63.5189,-150.7429,"48 km E of Denali National Park, Alaska"
ak02093hx8pp,61.0392,-159.2079,"59 km S of Chuathbaluk, Alaska"
ak02093iaa20,59.5966,-153.0835,"61 km ESE of Pedro Bay, Alaska"
