time,id,depth,mag,nst,error
2020-07-22T14:12:46.118Z,ak0209dm1jfm,33.6,3.1,,
2020-07-22T14:11:31.060Z,nc73429581,5.79,1.07,9,1.32
2020-07-22T14:06:47.920Z,nc73429576,5.41,0.86,10,1.3
2020-07-22T14:02:04.490Z,nc73429571,5.67,1.06,9,1.76
2020-07-22T14:01:02.830Z,ci38602426,10.33,1.13,12,0.43
2020-07-22T13:56:19.650Z,nc73429546,6.61,1.39,15,1.6
2020-07-22T13:55:58.820Z,nc73429541,6.28,1.41,19,0.8
2020-07-22T13:54:44.560Z,nc73429536,6.42,1.57,19,0.74
2020-07-22T13:50:09.110Z,hv72055482,41.68000031,2.63000011,29,1.18
2020-07-22T13:49:06.841Z,ak0209dlnynj,25.6,3.7,2001,
2020-07-22T13:43:55.560Z,nc73429516,1.68,0.65,7,0.57
2020-07-22T13:41:49.040Z,hv72055457,18.02000046,2.22000003,19,2.98
2020-07-22T13:40:48.100Z,hv72055447,42.13999939,2.76999998,15,0.93
2020-07-22T13:39:54.094Z,ak0209dllwm7,25.2,2.1,,
2020-07-22T13:39:15.790Z,hv72055442,41.34000015,2.67000008,40,1.22
2020-07-22T13:38:27.210Z,hv72055437,38.04000092,2.1,36,1.11
2020-07-22T13:33:38.478Z,ak0209dlkl0m,13.2,4.5,,
2020-07-22T13:32:06.360Z,ci38602394,7.87,0.97,12,0.41
2020-07-22T13:25:43.450Z,ci38602354,10.91,1.22,44,0.22
2020-07-22T13:22:19.042Z,ak0209dli6ts,4.8,4.3,,
2020-07-22T13:13:01.650Z,nn00762132,15.1,0.4,10,
2020-07-22T12:56:49.651Z,ak0209dl43xh,25.8,3.8,,
2020-07-22T12:45:36.300Z,nc73429496,5.9,0.98,10,1.39
2020-07-22T12:44:25.750Z,ci38602314,6.99,0.78,31,0.18
2020-07-22T12:42:41.430Z,nn00762130,0,1,11,
2020-07-22T12:39:18.910Z,nn00762129,5.4,0.4,9,
2020-07-22T12:38:36.070Z,ci38602298,15.6,1.37,61,0.19
2020-07-22T12:33:37.142Z,us7000at2c,22.35,4.4,,3.4
2020-07-22T12:25:52.550Z,nn00762127,0.5,1.4,11,
2020-07-22T12:25:02.508Z,ak0209dkxd3e,25.6,3.8,,
2020-07-22T12:06:03.640Z,ci38602282,7.32,1.46,19,0.41
2020-07-22T11:54:47.490Z,nc73429481,15.33,2.35,43,0.25
2020-07-22T11:51:37.538Z,us7000at1k,28.86,3.5,,6.1
2020-07-22T11:50:34.290Z,nn00762124,8.6,0.9,12,
2020-07-22T11:40:07.310Z,nn00762122,14,1,13,
2020-07-22T11:39:09.390Z,uu60402997,5.2,0.89,17,0.32
2020-07-22T11:34:03.560Z,uw61661346,4.730000019,2.78999996,34,43.54
2020-07-22T11:33:25.683Z,us7000at13,10,5.4,,1.8
2020-07-22T11:32:14.300Z,nn00762115,9.3,0.8,15,
2020-07-22T11:31:32.723Z,us7000at0y,5,2.7,,0.9
2020-07-22T11:28:01.290Z,nn00762112,9,1,11,
2020-07-22T11:21:33.820Z,nn00762111,0.5,1.3,10,
2020-07-22T11:21:22.000Z,uu60402992,3.83,1.17,16,0.33
2020-07-22T11:15:06.980Z,nn00762110,10.8,0.6,12,
2020-07-22T11:11:23.610Z,ci38602234,12.09,1.07,10,0.62
2020-07-22T11:09:18.450Z,hv72055282,30.93000031,2.09,54,0.54
2020-07-22T11:05:46.560Z,nc73429466,1.16,0.91,12,0.3
2020-07-22T11:02:12.768Z,us7000at0f,35.46,5.1,,3.6
2020-07-22T10:57:40.770Z,ci38602226,4.32,0.63,5,0.59
2020-07-22T10:57:24.990Z,nn00762109,15.9,0.9,9,
2020-07-22T10:44:48.580Z,hv72055247,31.97999954,1.94,54,0.54
2020-07-22T10:34:59.530Z,ci38602218,13.22,1.4,27,0.55
2020-07-22T10:34:18.154Z,ak0209djsggb,20.6,2.3,,
2020-07-22T10:28:23.310Z,ci38602210,5.67,0.31,14,0.44
2020-07-22T10:27:45.313Z,ak0209djr0qe,22.3,2.8,,
2020-07-22T10:27:39.700Z,ci38602202,5.97,1.16,17,0.62
2020-07-22T10:26:24.035Z,ak0209djqr2t,16.4,2,,
2020-07-22T10:23:08.663Z,ak0209djq32v,9,2.9,,
2020-07-22T10:22:52.000Z,nn00762106,3.5,1.9,22,
2020-07-22T10:18:22.476Z,ak0209djp1hp,17.6,4.5,,
2020-07-22T10:17:44.110Z,nn00762105,2.3,0.5,10,
2020-07-22T10:15:56.658Z,ak0209djogvv,4.8,2.4,,
2020-07-22T10:15:10.749Z,ak0209djoddd,30.3,2,,
2020-07-22T10:12:39.520Z,nc73429451,5.48,1.47,14,1.11
2020-07-22T10:08:38.832Z,ak0209djmxho,34.8,4.7,,
2020-07-22T10:00:12.522Z,us7000aszp,10,4.8,,10.7
2020-07-22T09:56:21.880Z,us7000aszj,38.68,4,,5.8
2020-07-22T09:55:09.047Z,ak0209djbiac,25.7,3.7,,
2020-07-22T09:54:32.430Z,nn00762098,11.3,1.1,16,
2020-07-22T09:53:53.273Z,ak0209djb68p,25.5,2,,
2020-07-22T09:51:04.471Z,ak0209djan15,19,1.9,,
2020-07-22T09:47:50.659Z,ok2020ohqn,7.65,1.19,37,
2020-07-22T09:47:29.583Z,ak0209dj9u5v,27.8,2.9,,
2020-07-22T09:46:12.859Z,ok2020ohql,7.28,0.91,39,
2020-07-22T09:39:58.890Z,nc73429446,2.07,0.56,10,0.27
2020-07-22T09:29:23.300Z,nn00762093,11.7,1.9,19,
2020-07-22T09:10:05.820Z,us7000asyl,16.72,3.3,,5.1
2020-07-22T09:08:36.490Z,nn00762091,5.9,1.2,10,
2020-07-22T09:05:38.610Z,ci38602194,27.53,2.63,18,0.77
2020-07-22T08:47:12.390Z,nn00762088,10.3,1.8,17,
2020-07-22T08:32:58.670Z,nn00762084,5.3,1.4,21,
2020-07-22T08:24:59.380Z,ci38602186,3.08,1.41,27,0.51
2020-07-22T08:21:53.530Z,nn00762081,6,1,15,
2020-07-22T08:15:52.340Z,hv72055112,1.600000024,2.17,38,0.28
2020-07-22T08:13:29.497Z,us7000asy0,36.71,5.8,,4.9
2020-07-22T08:12:12.699Z,ok2020ohnj,9,1.07,22,
2020-07-22T08:04:38.115Z,us7000asxy,32.82,4,,7.4
2020-07-22T07:57:14.060Z,nn00762074,8.6,0.7,9,
2020-07-22T07:54:00.350Z,nn00762071,10.3,1.3,12,
2020-07-22T07:48:22.930Z,nn00762070,8.2,0.9,10,
2020-07-22T07:42:13.475Z,us7000asxh,27.28,4,,7.8
2020-07-22T07:34:17.760Z,hv72055052,31.70000076,1.96000004,47,0.57
2020-07-22T07:30:42.835Z,us7000asxc,47.86,5.1,,9
2020-07-22T07:26:08.734Z,ak0209dhyf9p,18.1,3.2,,
2020-07-22T07:17:49.270Z,nn00762065,2.1,1.4,10,
2020-07-22T07:17:32.259Z,ak0209dhwjsr,11.7,4,,
2020-07-22T07:09:40.410Z,nn00762062,10.7,1.3,9,
2020-07-22T07:02:46.045Z,ak0209dhtcvc,25.5,3.7,,
2020-07-22T07:01:19.030Z,nn00762060,3.1,1.6,12,
2020-07-22T06:58:54.736Z,us7000aswj,10,4.3,,7.9
2020-07-22T06:54:19.720Z,nc73429421,0.74,0.56,10,0.27
2020-07-22T06:53:53.611Z,ak0209dhivdi,29,4.2,,
2020-07-22T06:51:41.572Z,ak0209dhif1e,13.8,2.8,,
2020-07-22T06:40:23.147Z,ak0209dhg0pj,11,3.8,,
2020-07-22T06:33:50.692Z,ak0209dhekx8,10,4.1,,
2020-07-22T06:30:03.555Z,ak0209dhdu3d,4.7,4,,
2020-07-22T06:30:01.602Z,us7000asvp,17.15,4.2,,6.9
2020-07-22T06:27:10.350Z,nn00762056,12.2,2.1,23,
2020-07-22T06:26:57.430Z,ci38602170,10.59,1.51,26,0.23
2020-07-22T06:26:09.979Z,ak0209dhczmf,44.4,3.9,,
2020-07-22T06:22:16.370Z,nc73429416,5.44,2.45,27,0.34
2020-07-22T06:20:56.119Z,ok2020ohjr,7.53,2.05,70,
2020-07-22T06:20:07.999Z,us7000aswr,26.21,5.7,,5.6
2020-07-22T06:16:18.657Z,us7000asx4,17.67,6.1,,5.4
2020-07-22T06:12:44.593Z,us7000asvb,28,7.8,,2.3
2020-07-22T06:08:07.860Z,nn00762043,11.1,1.8,17,
2020-07-22T06:02:43.574Z,ak0209dh7x3s,76.5,2.1,,
2020-07-22T05:52:34.330Z,ci38602154,5.34,1.54,57,0.19
