Number,Volcano Name,Country,Region,Latitude,Longitude,Elev
140208,Acatenango,Guatemala,Guatemala,14.501,-90.876,3976
80317,Adatara,Japan,Honshu-Japan,37.62,140.28,1718
60402,Agung,Indonesia,Lesser Sunda Is,-8.342,115.508,3142
1000123,Akademia Nauk,Russia,Kamchatka,53.98,159.45,1180
80507,Akan,Japan,Hokkaido-Japan,43.38,144.02,1499
80323,Akita-Komaga-take,Japan,Honshu-Japan,39.75,140.8,1637
80326,Akita-Yake-yama,Japan,Honshu-Japan,39.97,140.77,1366
110132,Akutan,United States,Aleutian Is,54.13,-165.97,1303
90039,Alaid,Russia,Kuril Is,50.858,155.55,2339
150304,"Alcedo, Volcan",Ecuador,Galapagos,-0.43,-91.12,1130
50704,Ambrym,Vanuatu,Vanuatu-SW Pacific,-16.25,168.12,1334
110119,Amukta,United States,Aleutian Is,52.5,-171.25,1066
50703,Aoba,Vanuatu,Vanuatu-SW Pacific,-15.4,167.83,1496
1505107,Aracar,Argentina,Argentina,-24.27,-67.77,6082
201126,Ardoukoba,Djibouti,Africa-NE,11.58,42.47,298
1405033,Arenal,Costa Rica,Costa Rica,10.463,-84.703,1657
80311,Asama,Japan,Honshu-Japan,36.4,138.53,2560
80211,Aso,Japan,Kyushu-Japan,32.88,131.1,1592
110116,Atka,United States,Aleutian Is,52.38,-174.15,1533
110301,Augustine,United States,Alaska-SW,59.37,-153.42,1252
100010,Avachinsky,Russia,Kamchatka,53.255,158.83,2741
60704,Awu,Indonesia,Sangihe Is-Indonesia,3.67,125.5,1320
1301011,Axial Seamount,Pacific Ocean,Pacific-NE,45.95,-130,-1500
150306,"Azul, Cerro",Ecuador,Galapagos,-0.9,-91.42,1690
150706,"Azul, Cerro [Quizapu]",Chile,Chile-C,-35.653,-70.761,3788
80318,Azuma,Japan,Honshu-Japan,37.73,140.25,2024
50502,Bagana,Papua New Guinea,Bougainville-SW Paci,-6.14,155.195,1750
60509,Banda Api,Pacific Ocean,Banda Sea,-4.525,129.871,640
60001,Barren Island,India,Andaman Is-Indian O,12.292,93.875,354
60401,Batur,Indonesia,Lesser Sunda Is,-8.242,115.375,1717
80407,Bayonnaise Rocks,Japan,Izu Is-Japan,31.92,139.92,10
100025,Bezymianny,Russia,Kamchatka,55.978,160.587,2882
110130,Bogoslof,United States,Aleutian Is,53.93,-168.03,101
70301,Bulusan,Philippines,Luzon-Philippines,12.77,124.05,1565
1507091,Callaqui,Chile,Chile-C,-37.92,-71.45,3164
20401,"Cameroon, Mt.",Cameroon,Africa-W,4.203,9.17,4095
150714,Carran-Los Venados,Chile,Chile-C,-40.35,-72.07,1114
1508041,Chaiten,Chile,Chile-S,-42.833,-72.646,962
140112,"Chichon, El",Mexico,Mexico,17.36,-93.228,1150
110211,Chiginagak,United States,Alaska Peninsula,57.13,-157,2075
90036,Chikurachki,Russia,Kuril Is,50.325,155.458,1816
150707,"Chillan, Nevados de",Chile,Chile-C,-36.863,-71.377,3212
90026,Chirinkotan,Russia,Kuril Is,48.98,153.48,724
90015,Chirpoi,Russia,Kuril Is,46.525,150.875,742
80322,Chokai,Japan,Honshu-Japan,39.08,140.03,2237
130102,Cleft Segment,Pacific Ocean,Pacific-NE,44.83,-130.3,-2140
110124,Cleveland,United States,Aleutian Is,52.82,-169.95,1730
140104,Colima,Mexico,Mexico,19.514,-103.62,3850
60601,Colo [Una Una],Indonesia,Sulawesi-Indonesia,-0.17,121.608,507
140412,Concepcion,Nicaragua,Nicaragua,11.538,-85.622,1700
150709,Copahue,Chile,Chile-C,-37.85,-71.17,2965
403101,Curacoa,Tonga,Tonga-SW Pacific,-15.62,-173.67,-33
190003,Deception Island,Antarctica,Antarctica,-62.97,-60.65,576
60123,Dempo,Indonesia,Sumatra,-4.03,103.13,3173
70402,Didicas,Philippines,Luzon-N of,19.077,122.202,244
60320,Dieng Volc Complex,Indonesia,Java,-7.2,109.92,2565
60801,Dukono,Indonesia,Halmahera-Indonesia,1.68,127.88,1185
508001,Eastern Gemini Seamount,Pacific Ocean,SW Pacific,-20.98,170.28,-80
90038,Ebeko,Russia,Kuril Is,50.68,156.02,1156
60410,Ebulobo,Indonesia,Lesser Sunda Is,-8.808,121.18,2124
90027,Ekarma,Russia,Kuril Is,48.958,153.93,1170
130101,Endeavour Ridge,Pacific Ocean,Pacific-NE,47.95,-129.1,-2400
50706,Epi,Vanuatu,Vanuatu-SW Pacific,-16.68,168.37,833
190002,Erebus,Antarctica,Antarctica,-77.53,167.17,3794
20108,Erta Ale,Ethiopia,Africa-NE,13.6,40.67,613
10106,Etna,Italy,Italy,37.734,15.004,3350
170202,Eyjafjallajokull,Iceland,Iceland-S,63.63,-19.62,1666
80414,Farallon de Pajaros,United States,Mariana Is-C Pacific,20.53,144.9,360
150301,Fernandina,Ecuador,Galapagos,-0.37,-91.55,1495
180401,Fogo,Cape Verde,Cape Verde Is,14.95,-24.35,2829
30302,"Fournaise, Piton de la",Reunion,Indian O-W,-21.229,55.713,2631
140209,Fuego,Guatemala,Guatemala,14.473,-90.88,3763
804133,Fukujin,Japan,Volcano Is-Japan,21.925,143.442,-217
80413,Fukutoku-okanoba,Japan,Volcano Is-Japan,24.28,141.52,-14
130302,Galapagos Rift,Pacific Ocean,Pacific-E,0.792,-86.15,-2430
150108,Galeras,Colombia,Colombia,1.22,-77.37,4276
60314,Galunggung,Indonesia,Java,-7.25,108.05,2168
60806,Gamalama,Indonesia,Halmahera-Indonesia,0.8,127.325,1715
60804,Gamkonora,Indonesia,Halmahera-Indonesia,1.375,127.52,1635
110107,Gareloi,United States,Aleutian Is,51.78,-178.8,1573
50702,Gaua,Vanuatu,Vanuatu-SW Pacific,-14.27,167.5,797
100007,Gorely,Russia,Kamchatka,52.558,158.03,1829
110112,Great Sitkin,United States,Aleutian Is,52.08,-176.13,1740
170301,Grimsvotn,Iceland,Iceland-NE,64.42,-17.33,1725
90007,Grozny Group,Russia,Kuril Is,45.02,147.87,1211
150202,Guagua Pichincha,Ecuador,Ecuador,-0.171,-78.598,4784
30401,Heard,Heard I. & McDonald Is.,Indian O-S,-53.106,73.513,2745
170207,Hekla,Iceland,Iceland-S,63.98,-19.7,1491
40308,Home Reef,Tonga,Tonga-SW Pacific,-18.992,-174.775,-2
1508057,"Hudson, Cerro",Chile,Chile-S,-45.9,-72.97,1905
40304,Hunga Tonga-Hunga Ha'apai,Tonga,Tonga-SW Pacific,-20.57,-175.38,0
60803,Ibu,Indonesia,Halmahera-Indonesia,1.475,127.642,1325
60335,Ijen,Indonesia,Java,-8.058,114.242,2799
60422,Iliboleng,Indonesia,Lesser Sunda Is,-8.342,123.258,1659
60425,Iliwerung,Indonesia,Lesser Sunda Is,-8.54,123.59,1018
140506,Irazu,Costa Rica,Costa Rica,9.979,-83.852,3432
150504,Irruputuncu,Bolivia,Chile-N,-20.73,-68.55,5163
80202,Iwo-Tori-shima,Japan,Ryukyu Is,27.85,128.25,217
80412,Iwo-jima,Japan,Volcano Is-Japan,24.75,141.33,161
60411,Iya,Indonesia,Lesser Sunda Is,-8.88,121.63,637
140303,Izalco,El Salvador,El Salvador,13.813,-89.633,1950
80301,Izu-Tobu,Japan,Honshu-Japan,34.92,139.12,1406
170601,Jan Mayen,Jan Mayen,Atlantic-N-Jan Mayen,71.08,-8.17,2277
80410,Kaitoku Seamount,Japan,Volcano Is-Japan,26.122,141.102,-10
110111,Kanaga,United States,Aleutian Is,51.92,-177.17,1307
70202,Kanlaon,Philippines,Philippines-C,10.412,123.132,2435
60702,Karangetang [Api Siau],Indonesia,Sangihe Is-Indonesia,2.78,125.48,1784
50103,Karkar,Papua New Guinea,New Guinea-NE of,-4.649,145.964,1839
30301,Karthala,Comoros,Indian O-W,-11.75,43.38,2361
